=== 実行ログ ===
スクリプト: run_gyro_state_trace.py
実行日時 : 2026-09-19 11:17:35
ハブ     : --name Pybricks Hub3
==================================================

Searching for Pybricks Hub3...

  0%|          | 0.00/7.45k [00:00<?, ?B/s]
 14%|█▎        | 1.01k/7.45k [00:00<00:00, 9.78kB/s]
 27%|██▋       | 2.03k/7.45k [00:00<00:00, 7.72kB/s]
 41%|████      | 3.04k/7.45k [00:00<00:00, 8.34kB/s]
 54%|█████▍    | 4.06k/7.45k [00:00<00:00, 8.29kB/s]
 68%|██████▊   | 5.07k/7.45k [00:00<00:00, 8.57kB/s]
 82%|████████▏ | 6.08k/7.45k [00:00<00:00, 7.83kB/s]
 95%|█████████▌| 7.10k/7.45k [00:01<00:00, 5.64kB/s]
100%|██████████| 7.45k/7.45k [00:01<00:00, 5.38kB/s]
=== ロボット初期化開始 ===
★ 走行設定: new （new＝今年の値 / old＝昨年の速度・加速度・PID）
✓ 機体の校正表: Pybricks Hub3 {'heading_correction': 365.8, 'wheel': 62.32, 'axle': 114.48}
✓ ハブ設定完了
✓ モーター設定完了
✓ デフォルト設定適用: 直進={'straight_acceleration': 800, 'straight_speed': 550}, 回転={'turn_acceleration': 313, 'turn_rate': 250}
✓ ロボットパラメータ設定完了
✓ PID制御設定完了（Pybricks の既定値を使用）
✓ センサー初期化完了
✓ モーター角度リセット完了: 全モーター=0°
=== ロボット初期化完了 ===
# imu.settings: (2.0, 2500.0, (0.107595, -1.197198, -0.486059), (366.1989, 351.5872, 362.0139), (10031.61, -9781.568, 9785.638, -9813.727, 9523.833, -10133.98), 365.8)
# 前: tilt (-0.1535122, 0.219032) / 角速度 Matrix([
    [   0.111],
    [   0.049],
    [  -0.015],
])
# ★いま★ ライトが緑になったら（ピーと鳴ったら）、手で定規にぴったり当て直して、手を離してね
# 列: T,ms,heading*100,rotZ*100,wz*10,ax,ay,az,left,right,stationary
T,0,0,0,0,-5,45,9811,0,0,1
T,20,0,0,0,13,42,9819,0,0,0
T,40,0,0,-4,20,54,9830,0,0,0
T,60,0,0,1,153,119,9740,0,0,0
T,80,0,0,-2,-5,6,9845,0,0,0
T,100,0,0,2,44,38,9783,0,0,0
T,120,0,0,0,-28,-12,9838,0,0,0
T,140,0,0,1,91,16,9830,0,0,0
T,160,0,0,-2,-31,-24,9859,0,0,0
T,180,0,0,0,42,78,9826,0,0,0
T,200,0,0,0,51,21,9826,0,0,0
T,220,0,0,-6,-498,708,9630,1,0,0
T,240,10,-10,-100,634,-1085,9131,3,0,0
T,260,49,-50,-275,-1147,-1598,9343,5,-3,0
T,280,120,-122,-426,-2078,-9,9702,8,-6,0
T,300,220,-224,-578,-1268,-1181,8646,10,-9,0
T,320,349,-363,-729,-1836,588,10650,14,-13,0
T,340,520,-528,-891,-1514,1420,11330,18,-18,0
T,360,715,-726,-1051,-498,-936,9362,23,-24,0
T,380,940,-955,-1198,-1317,361,9410,29,-32,0
T,400,1191,-1210,-1303,-90,907,8536,35,-38,0
T,420,1455,-1478,-1352,-922,-141,8538,41,-45,0
T,440,1731,-1759,-1411,-135,-601,6172,47,-52,0
T,460,2020,-2053,-1496,-858,3036,12871,54,-59,0
T,480,2327,-2364,-1581,-178,-2187,7901,61,-65,0
T,500,2649,-2692,-1649,1049,550,11318,68,-73,0
T,520,2982,-3030,-1704,103,-88,8147,75,-80,0
T,540,3329,-3382,-1773,-938,2263,9009,83,-88,0
T,560,3689,-3748,-1827,-528,2371,13026,91,-96,0
T,580,4058,-4123,-1883,1454,-1478,7246,99,-104,0
T,600,4437,-4509,-1933,2089,802,8221,107,-112,0
T,620,4824,-4901,-1958,-142,-2472,3148,116,-120,0
T,640,5216,-5300,-1997,-2,1048,9205,124,-128,0
T,660,5617,-5707,-2044,-1133,2828,9069,132,-136,0
T,680,6029,-6126,-2095,-735,2057,7514,141,-145,0
T,700,6451,-6555,-2127,-2327,4529,11775,151,-154,0
T,720,6879,-6990,-2187,-626,3702,14874,160,-163,0
T,740,7316,-7434,-2233,-3362,-575,12395,171,-173,0
T,760,7761,-7886,-2257,1544,-1495,7361,181,-183,0
T,780,8212,-8371,-2277,-2514,-194,7027,190,-193,0
T,800,8701,-8841,-2330,-2306,1503,8362,200,-203,0
T,820,9170,-9318,-2352,6,696,3058,211,-213,0
T,840,9644,-9799,-2399,-2275,1163,9828,221,-224,0
T,860,10122,-10285,-2403,-533,-24,4839,232,-236,0
T,880,10604,-10775,-2435,-1047,1777,13121,244,-247,0
T,900,11087,-11265,-2418,-770,1789,9088,254,-259,0
T,920,11571,-11757,-2433,1065,3118,9666,265,-270,0
T,940,12056,-12251,-2451,911,2548,7679,275,-282,0
T,960,12543,-12745,-2462,-1173,3496,16761,285,-294,0
T,980,13032,-13242,-2460,-1360,814,4904,296,-304,0
T,1000,13523,-13740,-2483,-505,-287,13000,306,-316,0
